,noise_std,epoch,batch,min_loss,Linear diff,Quadratic diff,Linear,Quadratic
0,0.0,200,10,292459.23878210783,0.8919339,0.010903563,"[[ 0.312568    0.46302843]
 [-0.02954498  0.81489766]]","[[[-1.8632392e-03  6.6486252e-03]
  [-6.8909209e-03  5.1975454e-05]]

 [[-1.7092049e-03 -3.5169984e-03]
  [ 2.8980116e-03 -1.8760840e-04]]]"
1,0.0,200,50,183203.48371124268,0.92279136,0.011761417,"[[ 0.46824655  0.3603762 ]
 [-0.00990373  0.6004207 ]]","[[[-1.3027265e-03 -1.4930618e-03]
  [ 1.5133390e-03 -2.7961867e-06]]

 [[-6.6531869e-04  7.6291664e-03]
  [-8.5713202e-03  4.8209331e-06]]]"
2,0.0,200,100,158619.48520946503,1.0843164,0.011797423,"[[3.2957137e-01 3.3976030e-01]
 [4.5783480e-04 4.6125925e-01]]","[[[-1.6540489e-03 -1.5483800e-03]
  [ 1.4580186e-03  2.2904360e-06]]

 [[ 3.4183380e-05  7.5250748e-03]
  [-8.6753480e-03 -1.7442324e-04]]]"
3,0.0,500,10,20804.140871401876,0.471322,0.011724054,"[[ 0.7516491   0.600944  ]
 [-0.02061452  0.96671504]]","[[[-7.0437242e-04 -1.5669891e-03]
  [ 1.4394125e-03  3.4038811e-05]]

 [[-1.0884837e-03  8.0111371e-03]
  [-8.1893383e-03 -1.9788458e-05]]]"
4,0.0,500,50,48880.66597425938,0.575118,0.01169663,"[[ 0.6802195   0.56806266]
 [-0.01024296  0.79522884]]","[[[-7.7941682e-04 -1.4981214e-03]
  [ 1.5082777e-03 -1.6715532e-06]]

 [[-5.8748253e-04  7.8667412e-03]
  [-8.3338851e-03 -1.8831561e-06]]]"
5,0.0,500,100,70701.3693933487,0.7617604,0.0117229475,"[[ 0.5087281   0.54191506]
 [-0.0087862   0.64071244]]","[[[-1.1812510e-03 -1.5434858e-03]
  [ 1.4629123e-03 -4.2730630e-07]]

 [[-2.1491875e-05  7.7337208e-03]
  [-8.4667196e-03 -1.1597270e-04]]]"
6,0.0,1000,10,4376.258873895742,0.2718517,0.011673229,"[[ 0.9128008   0.7426096 ]
 [-0.01362071  0.99394035]]","[[[-2.4631232e-04 -1.5252017e-03]
  [ 1.4811988e-03  1.1786184e-05]]

 [[-6.7304622e-04  8.0641033e-03]
  [-8.1363693e-03  4.9998507e-06]]]"
7,0.0,1000,50,6835.176351353526,0.29259887,0.011664886,"[[ 0.8504199   0.75978667]
 [-0.01011499  0.9255861 ]]","[[[-3.6405414e-04 -1.5009579e-03]
  [ 1.5054423e-03 -7.8126743e-07]]

 [[-4.1568195e-04  8.0140987e-03]
  [-8.1865285e-03 -1.4539764e-06]]]"
8,0.0,1000,100,22769.587567090988,0.46653482,0.01167965,"[[ 0.6819024   0.72586864]
 [-0.01003862  0.79672515]]","[[[-7.5947697e-04 -1.5302041e-03]
  [ 1.4761947e-03 -5.5002852e-07]]

 [[-4.8389807e-05  7.8966450e-03]
  [-8.3038015e-03 -6.5504384e-05]]]"
9,0.1,200,10,239899.41297194362,0.77278084,0.011887265,"[[ 0.4782118   0.45611092]
 [-0.02430115  0.829978  ]]","[[[-1.4588903e-03 -1.6102012e-03]
  [ 1.3961947e-03  8.0452483e-06]]

 [[-1.7874839e-03  7.7971607e-03]
  [-8.4033171e-03 -1.7320097e-04]]]"
10,0.1,200,50,183468.5310049057,0.91653174,0.011760055,"[[ 0.46839526  0.36963534]
 [-0.00982306  0.5999161 ]]","[[[-1.3044429e-03 -1.4928848e-03]
  [ 1.5135084e-03 -2.8076111e-06]]

 [[-6.4201659e-04  7.6327166e-03]
  [-8.5678082e-03  4.1498570e-06]]]"
11,0.1,200,100,161956.70099067688,1.1081724,0.0118016945,"[[0.32948655 0.30534688]
 [0.00047722 0.4561204 ]]","[[[-1.6567468e-03 -1.5485274e-03]
  [ 1.4578719e-03  2.2947897e-06]]

 [[-2.6286856e-05  7.4868081e-03]
  [-8.7136393e-03 -1.7706750e-04]]]"
